ID,eyetrial,window,Condition,sum,Target_obj,Target_subj,Target_prop,SubjComp_prop,ObjComp_prop,Distr_prop,GivenSubj_prop,GivenObj_prop,surveyExclude,BL_Pic,Comp_subj_pic,First_pic,lgerror,excludeLargeError,excludeTriggerError,excludeRefError
28,91,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
30,70,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
6,68,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
6,43,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
17,63,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
39,41,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
29,45,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
28,93,NA,CG,NA,berries,panda,NA,NA,NA,NA,NA,NA,0,panda_melon,zebra_berries,zebra_berries,0,0,0,0
35,51,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
33,19,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
16,91,NA,CG,NA,berries,panda,NA,NA,NA,NA,NA,NA,0,panda_melon,zebra_berries,zebra_berries,0,0,0,0
34,79,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,1,zebra_melon,panda_berries,panda_berries,0,0,0,0
10,60,NA,CG,NA,berries,grizzly,NA,NA,NA,NA,NA,NA,1,grizzly_melon,lion_berries,lion_berries,0,0,0,0
5,93,NA,CG,NA,berries,panda,NA,NA,NA,NA,NA,NA,0,panda_melon,zebra_berries,zebra_berries,0,0,0,0
31,88,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
2,77,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
38,36,NA,CG,NA,berries,lion,NA,NA,NA,NA,NA,NA,0,lion_melon,grizzly_berries,grizzly_berries,0,0,0,0
28,106,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
21,83,NA,CG,NA,berries,zebra,NA,NA,NA,NA,NA,NA,0,zebra_melon,panda_berries,panda_berries,0,0,0,0
3,48,NA,CG,NA,berries,grizzly,NA,NA,NA,NA,NA,NA,0,grizzly_melon,lion_berries,lion_berries,0,0,0,0
